task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,400,0,0,0.0,1.0,False,0.0015625,-0.10843648547908863,,-0.0015625,-0.10747919203341744,
connected_nodes,clustering,400,0,0,0.0,1.0,False,0.0015625,-0.10375070348557269,,-0.0015625,-0.10381004562509798,
connected_nodes,components,400,1,0,0.0025,1.0,False,0.0015625,-0.10193451435769724,,-0.0015625,-0.10685503336764675,
connected_nodes,degree,400,0,0,0.0,1.0,False,0.0015625,-0.12315814894811027,,-0.0015625,-0.11999254008165822,
connected_nodes,none,400,1,0,0.0025,1.0,False,0.0015625,-0.09599473472331328,,-0.0015625,-0.09857762787189506,
connected_nodes,rwse,400,0,0,0.0,1.0,False,0.0015625,-0.08428499392133627,,-0.0015625,-0.09002627390111163,
cycle_check,all,393,1,3,-0.005089058524173028,0.625,False,,0.0024936386768447836,MDE exceeds 1.0 at this power target,-0.0234375,-0.024631043256997456,
cycle_check,clustering,393,1,0,0.002544529262086514,1.0,False,,0.002849872773536896,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.018473282442748092,
cycle_check,components,389,1,6,-0.012853470437017995,0.125,False,,0.002776349614395887,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.019588688946015426,
cycle_check,degree,389,1,6,-0.012853470437017995,0.125,False,,0.002622107969151671,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.019331619537275066,
cycle_check,none,392,1,0,0.002551020408163265,1.0,False,,0.003163265306122449,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02,
cycle_check,rwse,391,1,0,0.0025575447570332483,1.0,False,,0.0025063938618925833,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02020460358056266,
edge_count,all,397,21,11,0.02518891687657431,0.11018416518345475,False,0.04062500000000001,0.04015113350125945,,-0.07187500000000001,-0.02659949622166247,
edge_count,clustering,399,3,13,-0.02506265664160401,0.021270751953125,True,,,,,,
edge_count,components,397,3,13,-0.02518891687657431,0.021270751953125,True,,,,,,
edge_count,degree,393,114,10,0.26463104325699743,1.6790570008398702e-23,True,,,,,,
edge_count,none,400,5,10,-0.0125,0.3017578125,False,0.028125,0.03125,,-0.0296875,-0.0259,
edge_count,rwse,398,2,13,-0.02763819095477387,0.00738525390625,True,,,,,,
edge_existence,all,399,23,34,-0.02756892230576441,0.18485048241641847,False,0.05,0.051328320802005015,,-0.053125000000000006,-0.055538847117794485,
edge_existence,clustering,400,52,8,0.11,5.205691473372798e-09,True,,,,,,
edge_existence,components,400,30,13,0.0425,0.0137181850586785,True,,,,,,
edge_existence,degree,398,31,21,0.02512562814070352,0.21160856876151612,False,0.05,0.0514070351758794,,-0.0484375,-0.050954773869346735,
edge_existence,none,400,42,14,0.07,0.00023444586091919684,True,,,,,,
edge_existence,rwse,400,24,36,-0.03,0.1550019040032606,False,0.05625,0.0571,,-0.05,-0.05355,
node_count,all,400,2,0,0.005,0.5,False,,0.00455,MDE exceeds 1.0 at this power target,-0.0234375,-0.02345,
node_count,clustering,400,2,4,-0.005,0.6875,False,,0.00515,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.0199,
node_count,components,400,1,2,-0.0025,1.0,False,,0.00525,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.0191,
node_count,degree,400,1,6,-0.0125,0.125,False,,0.00485,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.0207,
node_count,none,400,0,37,-0.0925,1.4551915228366852e-11,True,,,,,,
node_count,rwse,400,2,2,0.0,1.0,False,,0.00495,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.0223,
node_degree,all,400,2,32,-0.075,6.938353180885315e-08,True,,,,,,
node_degree,clustering,400,3,3,0.0,1.0,False,,0.01135,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01885,
node_degree,components,400,5,2,0.0075,0.453125,False,,0.01305,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.0189,
node_degree,degree,400,4,28,-0.06,1.9301194697618484e-05,True,,,,,,
node_degree,none,400,5,3,0.005,0.7265625,False,,0.01195,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02145,
node_degree,rwse,400,5,12,-0.0175,0.143463134765625,False,,0.01265,MDE exceeds 1.0 at this power target,-0.028125,-0.02965,
