task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
edge_existence,all,299,22,9,0.043478260869565216,0.029449373483657837,True,,,,,,
edge_existence,clustering,300,40,5,0.11666666666666667,7.878384167270269e-08,True,,,,,,
edge_existence,components,299,16,7,0.030100334448160536,0.0931396484375,False,0.045312500000000006,0.04662207357859532,,-0.043750000000000004,-0.04876254180602007,
edge_existence,degree,299,18,8,0.033444816053511704,0.07551869750022888,False,0.046875,0.049498327759197325,,-0.053125000000000006,-0.05103678929765886,
edge_existence,none,300,22,3,0.06333333333333334,0.00015652179718017578,True,,,,,,
edge_existence,rwse,300,28,11,0.056666666666666664,0.009475304279476404,True,,,,,,
node_degree,all,300,31,101,-0.23333333333333334,7.557099874792161e-10,True,,,,,,
node_degree,clustering,300,46,18,0.09333333333333334,0.0006173782640671298,True,,,,,,
node_degree,components,300,23,32,-0.03,0.2806097176983542,False,0.06875,0.06966666666666667,,-0.0625,-0.06626666666666667,
node_degree,degree,300,77,55,0.07333333333333333,0.06717037054890534,False,0.10625000000000001,0.1004,,-0.10625000000000001,-0.11146666666666667,
node_degree,none,300,23,29,-0.02,0.48845566937989204,False,0.065625,0.06806666666666666,,-0.065625,-0.0674,
node_degree,rwse,300,41,24,0.056666666666666664,0.04635347433291122,False,0.07187500000000001,0.07446666666666667,,-0.07812500000000001,-0.08153333333333333,
