model,condition,task,n_clusters,delta,ci_low,ci_high,p_value,shortcut_ceiling_treatment,shortcut_ceiling_control,shortcut_flag,bar_delta,bar_source
qwen3-4b,filler,edge_existence,300,-0.06333333333333334,-0.09666666666666666,-0.03333333333333333,9.999000099990002e-05,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-4b,clustering,node_degree,300,0.11333333333333333,0.06666666666666667,0.16,9.999000099990002e-05,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-4b,rwse,node_degree,300,0.07666666666666666,0.03,0.12333333333333334,0.0029997000299970002,0.21047619047619048,0.1442857142857143,partial,0.0662,refit
qwen3-1.7b,rwse,node_degree,300,-0.05333333333333334,-0.09,-0.016666666666666666,0.008099190080991902,0.21047619047619048,0.1442857142857143,partial,0.0662,refit
qwen3-4b,clustering,edge_existence,300,0.05333333333333334,0.013333333333333334,0.09333333333333334,0.0112988701129887,0.7266666666666667,0.7352380952380952,none,-0.0086,refit
qwen3-1.7b,filler,node_degree,300,-0.05333333333333334,-0.09333333333333334,-0.013333333333333334,0.012398760123987601,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-4b,degree,node_degree,300,0.09333333333333334,0.02,0.17,0.019098090190980903,1.0,0.1442857142857143,shortcut,0.8557,refit
qwen3-4b,components,edge_existence,300,-0.03333333333333333,-0.06666666666666667,0.0,0.08689131086891311,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-4b,degree,edge_existence,300,-0.03333333333333333,-0.07,0.0,0.08899110088991101,0.7457142857142857,0.7352380952380952,none,0.0105,refit
qwen3-1.7b,filler,edge_existence,300,-0.013333333333333334,,,0.12268773122687732,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-1.7b,clustering,node_degree,300,-0.03333333333333333,-0.07333333333333333,0.006666666666666667,0.14358564143585642,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-1.7b,components,edge_existence,300,-0.01,,,0.24727527247275272,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-1.7b,degree,edge_existence,300,0.02,-0.013333333333333334,0.05333333333333334,0.3060693930606939,0.7457142857142857,0.7352380952380952,none,0.0105,refit
qwen3-1.7b,clustering,edge_existence,300,0.013333333333333334,-0.01,0.04,0.4226577342265773,0.7266666666666667,0.7352380952380952,none,-0.0086,refit
qwen3-4b,filler,node_degree,300,0.02,-0.02666666666666667,0.06666666666666667,0.49345065493450657,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-1.7b,rwse,edge_existence,300,0.01,-0.01,0.03333333333333333,0.5471452854714528,0.5538095238095239,0.7352380952380952,none,-0.1814,refit
qwen3-4b,components,node_degree,300,-0.01,-0.05333333333333334,0.03333333333333333,0.7682231776822318,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-4b,rwse,edge_existence,300,-0.006666666666666667,-0.04666666666666667,0.03333333333333333,0.8667133286671332,0.5538095238095239,0.7352380952380952,none,-0.1814,refit
qwen3-1.7b,components,node_degree,300,0.0033333333333333335,-0.03333333333333333,0.03666666666666667,1.0,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-1.7b,degree,node_degree,300,0.0033333333333333335,-0.043333333333333335,0.05,1.0,1.0,0.1442857142857143,shortcut,0.8557,refit
