model,condition,task,n_clusters,delta,ci_low,ci_high,p_value,shortcut_ceiling_treatment,shortcut_ceiling_control,shortcut_flag,bar_delta,bar_source
qwen3-1.7b,degree,cycle_check,400,-0.175,-0.2275,-0.1225,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,clustering,cycle_check,400,0.085,0.0575,0.115,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,filler,edge_existence,400,-0.1575,-0.2,-0.115,9.999000099990002e-05,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-1.7b,filler,node_count,400,0.3975,0.35,0.4475,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,clustering,node_count,400,0.6725,0.625,0.7175,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,components,node_count,400,0.2125,0.1575,0.2675,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,components,edge_existence,400,-0.0825,-0.1175,-0.0475,9.999000099990002e-05,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-1.7b,degree,node_count,400,0.0675,0.03,0.105,0.0005999400059994001,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,degree,node_degree,400,0.075,0.03,0.12,0.0014998500149985001,1.0,0.1442857142857143,shortcut,0.8557,refit
qwen3-1.7b,filler,connected_nodes,400,-0.0625,-0.1025,-0.0225,0.003999600039996,0.0,0.0,none,0.0,refit
qwen3-1.7b,degree,edge_count,400,0.03,0.0075,0.0525,0.0188981101889811,1.0,0.03047619047619048,shortcut,0.9695,refit
qwen3-1.7b,rwse,edge_existence,400,0.05,0.0025,0.0975,0.043195680431956804,0.5538095238095239,0.7352380952380952,none,-0.1814,refit
qwen3-1.7b,degree,edge_existence,400,0.04,-0.005,0.085,0.0948905109489051,0.7457142857142857,0.7352380952380952,none,0.0105,refit
qwen3-1.7b,rwse,node_degree,400,0.04,-0.0075,0.0875,0.1100889911008899,0.21047619047619048,0.1442857142857143,partial,0.0662,refit
qwen3-1.7b,degree,connected_nodes,400,0.035,-0.0075,0.075,0.11968803119688032,0.0014285714285714286,0.0,none,0.0014,refit
qwen3-1.7b,clustering,edge_existence,400,0.0375,-0.0075,0.08,0.12098790120987901,0.7266666666666667,0.7352380952380952,none,-0.0086,refit
qwen3-1.7b,filler,cycle_check,400,0.03,-0.0075,0.0675,0.14438556144385561,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,components,edge_count,400,-0.01,,,0.2186781321867813,0.03047619047619048,0.03047619047619048,none,0.0,refit
qwen3-1.7b,clustering,node_degree,400,0.03,-0.0175,0.0775,0.26007399260073993,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-1.7b,components,cycle_check,400,0.02,-0.015,0.055,0.3314668533146685,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,components,node_degree,400,0.0175,-0.0225,0.0575,0.4530546945305469,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-1.7b,rwse,edge_count,400,-0.0075,,,0.46135386461353867,0.03047619047619048,0.03047619047619048,none,0.0,refit
qwen3-1.7b,rwse,node_count,400,0.02,-0.0425,0.0825,0.5909409059094091,1.0,1.0,degenerate,0.0,refit
qwen3-1.7b,clustering,connected_nodes,400,0.0125,-0.03,0.0575,0.6387361263873612,0.0,0.0,none,0.0,refit
qwen3-1.7b,filler,edge_count,400,-0.005,,,0.6905309469053095,0.03047619047619048,0.03047619047619048,none,0.0,refit
qwen3-1.7b,clustering,edge_count,400,-0.005,,,0.7294270572942706,0.10428571428571429,0.03047619047619048,partial,0.0738,refit
qwen3-1.7b,rwse,connected_nodes,400,0.01,-0.0325,0.0525,0.7323267673232676,0.0014285714285714286,0.0,none,0.0014,refit
qwen3-1.7b,components,connected_nodes,400,0.0075,-0.0275,0.045,0.793920607939206,0.0,0.0,none,0.0,refit
qwen3-1.7b,filler,node_degree,400,-0.005,-0.045,0.035,0.8988101189881011,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-1.7b,rwse,cycle_check,400,-0.0025,-0.0425,0.0375,1.0,1.0,1.0,degenerate,0.0,refit
