model,condition,task,n_clusters,delta,ci_low,ci_high,p_value,shortcut_ceiling_treatment,shortcut_ceiling_control,shortcut_flag,bar_delta,bar_source
qwen3-4b,components,connected_nodes,400,0.0925,0.06,0.1275,9.999000099990002e-05,0.0,0.0,none,0.0,refit
qwen3-4b,filler,connected_nodes,400,-0.125,-0.17,-0.08,9.999000099990002e-05,0.0,0.0,none,0.0,refit
qwen3-4b,degree,edge_count,400,0.2725,0.225,0.32,9.999000099990002e-05,1.0,0.03047619047619048,shortcut,0.9695,refit
qwen3-4b,filler,node_count,400,0.0925,0.065,0.1225,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-4b,clustering,node_count,400,0.0875,0.0575,0.1175,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-4b,components,node_count,400,0.09,0.0625,0.12,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-4b,degree,node_count,400,0.08,0.05,0.11,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-4b,rwse,edge_existence,400,-0.1,-0.14,-0.0625,9.999000099990002e-05,0.5538095238095239,0.7352380952380952,none,-0.1814,refit
qwen3-4b,rwse,node_count,400,0.0925,0.0625,0.1225,9.999000099990002e-05,1.0,1.0,degenerate,0.0,refit
qwen3-4b,degree,node_degree,400,-0.065,-0.0925,-0.0375,9.999000099990002e-05,1.0,0.1442857142857143,shortcut,0.8557,refit
qwen3-4b,filler,edge_existence,400,-0.07,-0.105,-0.035,0.00029997000299970003,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-4b,degree,edge_existence,400,-0.0475,-0.08,-0.0125,0.0093990600939906,0.7457142857142857,0.7352380952380952,none,0.0105,refit
qwen3-4b,clustering,edge_existence,400,0.04,0.01,0.0725,0.016698330166983303,0.7266666666666667,0.7352380952380952,none,-0.0086,refit
qwen3-4b,rwse,node_degree,400,-0.0225,-0.04,-0.005,0.022097790220977902,0.21047619047619048,0.1442857142857143,partial,0.0662,refit
qwen3-4b,degree,cycle_check,400,-0.0225,-0.0425,-0.005,0.0342965703429657,1.0,1.0,degenerate,0.0,refit
qwen3-4b,rwse,edge_count,400,-0.015,,,0.0710928907109289,0.03047619047619048,0.03047619047619048,none,0.0,refit
qwen3-4b,components,cycle_check,400,-0.02,-0.04,0.0,0.0776922307769223,1.0,1.0,degenerate,0.0,refit
qwen3-4b,components,edge_existence,400,-0.0275,-0.06,0.005,0.1252874712528747,0.7352380952380952,0.7352380952380952,none,0.0,refit
qwen3-4b,components,edge_count,400,-0.0125,,,0.18598140185981402,0.03047619047619048,0.03047619047619048,none,0.0,refit
qwen3-4b,degree,connected_nodes,400,-0.03,-0.0725,0.0125,0.19438056194380562,0.0014285714285714286,0.0,none,0.0014,refit
qwen3-4b,clustering,edge_count,400,-0.0125,-0.03,0.0025,0.22307769223077692,0.10428571428571429,0.03047619047619048,partial,0.0738,refit
qwen3-4b,filler,edge_count,400,0.0125,-0.0075,0.0325,0.30916908309169083,0.03047619047619048,0.03047619047619048,none,0.0,refit
qwen3-4b,clustering,cycle_check,400,0.005,,,0.6813318668133187,1.0,1.0,degenerate,0.0,refit
qwen3-4b,clustering,connected_nodes,400,0.01,-0.0275,0.0475,0.7075292470752925,0.0,0.0,none,0.0,refit
qwen3-4b,clustering,node_degree,400,-0.005,,,0.7233276672332767,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-4b,filler,cycle_check,400,-0.005,,,0.7242275772422758,1.0,1.0,degenerate,0.0,refit
qwen3-4b,filler,node_degree,400,-0.005,,,0.7251274872512748,0.1442857142857143,0.1442857142857143,none,0.0,refit
qwen3-4b,rwse,connected_nodes,400,0.0,-0.04,0.04,1.0,0.0014285714285714286,0.0,none,0.0014,refit
qwen3-4b,rwse,cycle_check,400,-0.0025,,,1.0,1.0,1.0,degenerate,0.0,refit
qwen3-4b,components,node_degree,400,0.0025,,,1.0,0.1442857142857143,0.1442857142857143,none,0.0,refit
