arm,task,condition,p,n,success,exact,cap,parsed,tokens,f1
qwen3-1.7b,connected_nodes,all,0.1,100,0.9,0.9,0.01,1.0,108.0,0.9503708252531782
qwen3-1.7b,connected_nodes,all,0.2,100,0.84,0.84,0.0,1.0,146.5,0.9779183750695394
qwen3-1.7b,connected_nodes,all,0.35,100,0.74,0.74,0.0,1.0,209.0,0.9608860368337655
qwen3-1.7b,connected_nodes,all,0.5,100,0.5,0.5,0.0,1.0,286.5,0.9613245743607567
qwen3-1.7b,connected_nodes,clustering,0.1,100,0.9,0.9,0.0,1.0,99.5,0.9604218559218559
qwen3-1.7b,connected_nodes,clustering,0.2,100,0.9,0.9,0.0,1.0,136.5,0.9896671949481547
qwen3-1.7b,connected_nodes,clustering,0.35,100,0.63,0.63,0.0,1.0,200.5,0.9745576072009761
qwen3-1.7b,connected_nodes,clustering,0.5,100,0.52,0.52,0.0,1.0,280.0,0.9650133920890276
qwen3-1.7b,connected_nodes,components,0.1,100,0.92,0.92,0.0,1.0,110.5,0.9776312021312021
qwen3-1.7b,connected_nodes,components,0.2,100,0.9,0.9,0.0,1.0,143.5,0.9823744229626583
qwen3-1.7b,connected_nodes,components,0.35,100,0.64,0.64,0.0,1.0,208.0,0.9678418913997235
qwen3-1.7b,connected_nodes,components,0.5,100,0.47,0.47,0.0,1.0,292.0,0.9586939401051925
qwen3-1.7b,connected_nodes,degree,0.1,100,0.97,0.97,0.0,1.0,119.0,0.978
qwen3-1.7b,connected_nodes,degree,0.2,100,0.92,0.92,0.0,1.0,156.0,0.9925871311500601
qwen3-1.7b,connected_nodes,degree,0.35,100,0.64,0.64,0.0,1.0,213.0,0.9781835803842975
qwen3-1.7b,connected_nodes,degree,0.5,100,0.51,0.51,0.0,1.0,284.5,0.9689248738944509
qwen3-1.7b,connected_nodes,filler,0.1,100,0.92,0.92,0.0,1.0,101.0,0.9685363247863248
qwen3-1.7b,connected_nodes,filler,0.2,100,0.86,0.86,0.0,1.0,142.5,0.9820239950108371
