arm,condition,n,consistent,joint_success,consistent_wrong,both_complete
qwen3-1.7b,all,400,0.68,0.6175,0.0625,0.9975
qwen3-1.7b,clustering,400,0.67,0.58,0.09,1.0
qwen3-1.7b,components,400,0.6325,0.545,0.0875,1.0
qwen3-1.7b,degree,400,0.73,0.625,0.105,1.0
qwen3-1.7b,filler,400,0.625,0.52,0.105,1.0
qwen3-1.7b,none,400,0.6225,0.54,0.0825,1.0
qwen3-1.7b,rwse,400,0.6325,0.5825,0.05,0.9975
qwen3-1.7b-think,all,400,0.835,0.795,0.04,0.99
qwen3-1.7b-think,clustering,400,0.8325,0.7275,0.105,0.995
qwen3-1.7b-think,components,400,0.8075,0.7175,0.09,0.9875
qwen3-1.7b-think,degree,400,0.81,0.765,0.045,0.935
qwen3-1.7b-think,filler,400,0.7725,0.695,0.0775,0.9925
qwen3-1.7b-think,none,400,0.81,0.71,0.1,0.98
qwen3-1.7b-think,rwse,400,0.8025,0.7175,0.085,0.9875
qwen3-4b,all,400,0.8,0.775,0.025,1.0
qwen3-4b,clustering,400,0.895,0.8625,0.0325,1.0
qwen3-4b,components,400,0.955,0.95,0.005,1.0
qwen3-4b,degree,400,0.81,0.765,0.045,1.0
qwen3-4b,filler,400,0.755,0.725,0.03,1.0
qwen3-4b,none,400,0.87,0.8575,0.0125,1.0
qwen3-4b,rwse,400,0.8525,0.8375,0.015,1.0
qwen3-4b-think,all,400,0.9375,0.9325,0.005,0.9475
qwen3-4b-think,clustering,400,0.945,0.9425,0.0025,0.95
qwen3-4b-think,components,400,0.945,0.945,0.0,0.95
qwen3-4b-think,degree,400,0.96,0.9575,0.0025,0.9675
qwen3-4b-think,filler,400,0.96,0.96,0.0,0.965
qwen3-4b-think,none,400,0.94,0.9375,0.0025,0.95
qwen3-4b-think,rwse,400,0.93,0.93,0.0,0.9575
