arm,condition,p,prevalence,pred_yes,accuracy,tpr,tnr,balanced,n_positive,n_negative
qwen3-1.7b,all,0.1,0.1,0.21,0.89,1.0,0.8777777777777778,0.9388888888888889,10,90
qwen3-1.7b,all,0.2,0.18,0.37,0.81,1.0,0.7682926829268293,0.8841463414634146,18,82
qwen3-1.7b,all,0.35,0.31,0.53,0.78,1.0,0.6811594202898551,0.8405797101449275,31,69
qwen3-1.7b,all,0.5,0.48,0.68,0.8,1.0,0.6153846153846154,0.8076923076923077,48,52
qwen3-1.7b,all,0.65,0.66,0.9,0.76,1.0,0.29411764705882354,0.6470588235294118,66,34
qwen3-1.7b,all,0.75,0.76,0.88,0.86,0.9868421052631579,0.4583333333333333,0.7225877192982456,76,24
qwen3-1.7b,all,0.85,0.85,0.94,0.89,0.9882352941176471,0.3333333333333333,0.6607843137254902,85,15
qwen3-1.7b,clustering,0.1,0.1,0.26,0.84,1.0,0.8222222222222222,0.9111111111111111,10,90
qwen3-1.7b,clustering,0.2,0.18,0.44,0.74,1.0,0.6829268292682927,0.8414634146341464,18,82
qwen3-1.7b,clustering,0.35,0.31,0.59,0.72,1.0,0.5942028985507246,0.7971014492753623,31,69
qwen3-1.7b,clustering,0.5,0.48,0.81,0.67,1.0,0.36538461538461536,0.6826923076923077,48,52
qwen3-1.7b,clustering,0.65,0.66,0.99,0.67,1.0,0.029411764705882353,0.5147058823529411,66,34
qwen3-1.7b,clustering,0.75,0.76,0.9,0.82,0.9736842105263158,0.3333333333333333,0.6535087719298246,76,24
qwen3-1.7b,clustering,0.85,0.85,0.99,0.86,1.0,0.06666666666666667,0.5333333333333333,85,15
qwen3-1.7b,components,0.1,0.1,0.24,0.86,1.0,0.8444444444444444,0.9222222222222223,10,90
qwen3-1.7b,components,0.2,0.18,0.56,0.62,1.0,0.5365853658536586,0.7682926829268293,18,82
qwen3-1.7b,components,0.35,0.31,0.81,0.5,1.0,0.2753623188405797,0.6376811594202898,31,69
qwen3-1.7b,components,0.5,0.48,0.97,0.51,1.0,0.057692307692307696,0.5288461538461539,48,52
qwen3-1.7b,components,0.65,0.66,1.0,0.66,1.0,0.0,0.5,66,34
qwen3-1.7b,components,0.75,0.76,0.99,0.77,1.0,0.041666666666666664,0.5208333333333334,76,24
qwen3-1.7b,components,0.85,0.85,1.0,0.85,1.0,0.0,0.5,85,15
qwen3-1.7b,degree,0.1,0.1,0.27,0.83,1.0,0.8111111111111111,0.9055555555555556,10,90
qwen3-1.7b,degree,0.2,0.18,0.48,0.7,1.0,0.6341463414634146,0.8170731707317074,18,82
qwen3-1.7b,degree,0.35,0.31,0.64,0.67,1.0,0.5217391304347826,0.7608695652173914,31,69
qwen3-1.7b,degree,0.5,0.48,0.68,0.78,0.9791666666666666,0.5961538461538461,0.7876602564102564,48,52
qwen3-1.7b,degree,0.65,0.66,0.95,0.71,1.0,0.14705882352941177,0.5735294117647058,66,34
qwen3-1.7b,degree,0.75,0.76,0.84,0.78,0.9078947368421053,0.375,0.6414473684210527,76,24
qwen3-1.7b,degree,0.85,0.85,0.95,0.88,0.9882352941176471,0.26666666666666666,0.6274509803921569,85,15
qwen3-1.7b,filler,0.1,0.1,0.26,0.84,1.0,0.8222222222222222,0.9111111111111111,10,90
qwen3-1.7b,filler,0.2,0.18,0.65,0.53,1.0,0.4268292682926829,0.7134146341463414,18,82
qwen3-1.7b,filler,0.35,0.31,0.97,0.34,1.0,0.043478260869565216,0.5217391304347826,31,69
qwen3-1.7b,filler,0.5,0.48,1.0,0.48,1.0,0.0,0.5,48,52
qwen3-1.7b,filler,0.65,0.66,1.0,0.66,1.0,0.0,0.5,66,34
qwen3-1.7b,filler,0.75,0.76,1.0,0.76,1.0,0.0,0.5,76,24
qwen3-1.7b,filler,0.85,0.85,1.0,0.85,1.0,0.0,0.5,85,15
qwen3-1.7b,none,0.1,0.1,0.21,0.89,1.0,0.8777777777777778,0.9388888888888889,10,90
qwen3-1.7b,none,0.2,0.18,0.45,0.73,1.0,0.6707317073170732,0.8353658536585367,18,82
qwen3-1.7b,none,0.35,0.31,0.65,0.66,1.0,0.5072463768115942,0.7536231884057971,31,69
qwen3-1.7b,none,0.5,0.48,0.94,0.54,1.0,0.11538461538461539,0.5576923076923077,48,52
qwen3-1.7b,none,0.65,0.66,0.98,0.68,1.0,0.058823529411764705,0.5294117647058824,66,34
qwen3-1.7b,none,0.75,0.76,0.99,0.77,1.0,0.041666666666666664,0.5208333333333334,76,24
qwen3-1.7b,none,0.85,0.85,0.99,0.86,1.0,0.06666666666666667,0.5333333333333333,85,15
qwen3-1.7b,rwse,0.1,0.1,0.18,0.91,1.0,0.9,0.95,10,90
qwen3-1.7b,rwse,0.2,0.18,0.48,0.68,0.9444444444444444,0.6219512195121951,0.7831978319783197,18,82
qwen3-1.7b,rwse,0.35,0.31,0.53,0.76,0.967741935483871,0.6666666666666666,0.8172043010752688,31,69
qwen3-1.7b,rwse,0.5,0.48,0.81,0.67,1.0,0.36538461538461536,0.6826923076923077,48,52
qwen3-1.7b,rwse,0.65,0.66,0.96,0.7,1.0,0.11764705882352941,0.5588235294117647,66,34
qwen3-1.7b,rwse,0.75,0.76,0.99,0.77,1.0,0.041666666666666664,0.5208333333333334,76,24
qwen3-1.7b,rwse,0.85,0.85,0.98,0.87,1.0,0.13333333333333333,0.5666666666666667,85,15
qwen3-1.7b-think,all,0.1,0.1,0.14,0.96,1.0,0.9555555555555556,0.9777777777777779,10,90
qwen3-1.7b-think,all,0.2,0.18,0.22,0.96,1.0,0.9512195121951219,0.975609756097561,18,82
qwen3-1.7b-think,all,0.35,0.31,0.34,0.97,1.0,0.9565217391304348,0.9782608695652174,31,69
qwen3-1.7b-think,all,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-1.7b-think,all,0.65,0.66,0.69,0.97,1.0,0.9117647058823529,0.9558823529411764,66,34
qwen3-1.7b-think,all,0.75,0.76,0.75,0.99,0.9868421052631579,1.0,0.993421052631579,76,24
qwen3-1.7b-think,all,0.85,0.85,0.84,0.99,0.9882352941176471,1.0,0.9941176470588236,85,15
qwen3-1.7b-think,clustering,0.1,0.1,0.12,0.97,1.0,0.9666666666666667,0.9833333333333334,10,90
qwen3-1.7b-think,clustering,0.2,0.18,0.2,0.98,1.0,0.975609756097561,0.9878048780487805,18,82
qwen3-1.7b-think,clustering,0.35,0.31,0.32,0.99,1.0,0.9855072463768116,0.9927536231884058,31,69
